,country,article_name,revision_id,article_quality_est.,population
942,Salvadoran,Fabio Castillo Figueroa,705385310,Stub,
944,"Congo, Dem. Rep. of",Eugène Diomi Ndongala Nzomambu,705390654,Stub,
992,"Congo, Dem. Rep. of",Théophile Mbemba Fundu,705707214,Stub,
994,"Congo, Dem. Rep. of",Ntumba Luaba,705723187,Stub,
995,"Congo, Dem. Rep. of",Myra Ndjoku Manianga,705723441,Stub,
1054,Cuba,Valerio De Los Benidos,706204833,,11281000.0
1056,Samoan,Misa Telefoni Retzlaff,706207837,Start,
1167,Salvadoran,Ricardo Montenegro,706769596,Stub,
1168,Incan,Vicente Flores,706771757,Stub,
1181,Samoan,Luagalau Levaula Kamu,706804758,Stub,
1183,Fiji,Kamlesh Arya,706810694,,896000.0
1191,Samoan,Leafa Vitale,706837234,Stub,
1258,Chechen,Khozh-Ahmed Noukhayev,707217873,C,
1300,Salvadoran,Rafael Campo,707399758,Start,
1301,Salvadoran,Miguel Santín del Castillo,707400213,Stub,
1302,Salvadoran,Osmín Aguirre y Salinas,707403482,Stub,
1303,Salvadoran,Eusebio Rodolfo Cordón Cea,707404888,Stub,
1318,Salvadoran,Juan José Guzmán,707519272,Stub,
1320,Samoan,Niko Lee Hang,707525246,Stub,
1321,Samoan,Tuu'u Anasi'i Leota,707525315,Stub,
1332,Czech Republic,Vladimír Hučín,707597623,Start,
1349,Samoan,Tuiloma Pule Lameko,707750982,Stub,
1356,Hondura,Juan Ramón Salgado,707824636,Stub,
1380,"Congo, Dem. Rep. of",André-Philippe Futa,708009445,Start,
1395,Salvadoran,Juan José Cañas,708089470,Stub,
1427,"Congo, Dem. Rep. of",Gérard Gifuza,708358969,Stub,
1428,"Congo, Dem. Rep. of",Koloso Sumaili,708359204,Stub,
1491,India,Book:Indian Politicians,708482569,,1400100000.0
1515,Ivorian,Tuo Fozié,708711840,Start,
1516,Jersey,Terry Le Main,708727189,Start,
1517,Jersey,Paul Routier,708727221,Start,
1527,Jersey,Mike Vibert,708766654,Start,
1532,Canada,Pierre-Luc Paquette,708813010,,38190000.0
1561,Saint Kitts and Nevis,Lee Moore (politician),709078753,Stub,
1562,Saint Kitts and Nevis,Joseph Parry (politician),709078817,Start,
1626,Israel,Khaled Aghbariyya,709508670,,9216000.0
1654,Czech Republic,Pavla Topolánková,709676840,Start,
1695,Saint Lucian,Harold Dalson,709912281,Stub,
1696,Saint Lucian,Keith Mondesir,709912316,C,
1697,Saint Lucian,Rufus Bousquet,709914459,Start,
1740,Portugal,José Santos Marques,710135228,,10255000.0
1770,Russia,Vladimir Shamakhov,710311600,,146733000.0
1775,Jersey,Sean Power (Jersey),710334019,Stub,
1799,Saint Kitts and Nevis,Robert James Dugu Gordon,710428915,Stub,
1806,Jersey,Leonard Norman,710503170,Start,
1821,Salvadoran,José Gregorio Salazar,710543364,Start,
1823,Guernsey,Mike Torode,710546915,Stub,
1827,Salvadoran,Diego Vigil Cocaña,710555824,Start,
1830,Salvadoran,Nicolás Espinoza,710578840,Start,
1832,Ivorian,Léon Emmanuel Monnet,710585105,Stub,
1837,Hondura,Juan José Alvarado,710598059,Stub,
1860,Salvadoran,Pedro Barriere,710677703,Start,
1867,Afghanistan,Hazrat-U-Din,710715953,,38928000.0
1884,Salvadoran,Joaquín de San Martín,710828020,Start,
1953,Hondura,Juan Ángel Almendares Bonilla,711170881,Stub,
1960,Philippines,Floydelia Diasen,711224007,,109581000.0
1968,Finland,Panu Laturi,711288191,,5529000.0
1979,Macedonia,Trifun Kostovski,711339559,Start,
2000,Rhodesian,Washington Malianga,711506001,Stub,
2002,France,Michel Ximenes,711513274,,64940000.0
2013,Czech Republic,Josef Barák,711675761,Stub,
2095,Rhodesian,Ronald Snapper,712233907,Stub,
2098,East Timorese,Rogerio Lobato,712249441,Start,
2125,Indonesia,I Gede Sumantara Ady Pratama,712411818,,271739000.0
2131,Czech Republic,Antonín Švehla,712426548,Stub,
2197,Montserratian,Peter Waterworth,712713704,Stub,
2228,Poland,Łukasz Kowalski,712872338,,38368000.0
2229,Poland,Blanka Olszewska,712872421,,38368000.0
2230,Poland,Janusz Jerzy Drozdalski,712872473,,38368000.0
2231,Poland,Piotr Michał Trzaska,712872531,,38368000.0
2232,Poland,Anna Teresa Piórkowska,712873183,,38368000.0
2233,Poland,Edward Ignacy Hartwich,712873308,,38368000.0
2234,Poland,Lech Andrzej Zagłoba-Zygler,712873386,,38368000.0
2240,Poland,Elżbieta Teresa Rusielewicz,712878000,,38368000.0
2241,Poland,Adam Wojciech Fórmaniak,712878267,,38368000.0
2242,Poland,Zbigniew Józef Sobociński,712878343,,38368000.0
2243,Poland,Bernadeta Aldona Różańska-Majchrzak,712878396,,38368000.0
2245,Poland,Jarosław Wenderlich,712881543,,38368000.0
2246,Poland,Ewa Joanna Starosta,712881676,,38368000.0
2247,Poland,Stanisław Grodzicki (politician),712881741,,38368000.0
2248,Poland,Tadeusz Mirosław Kondrusiewicz,712881882,,38368000.0
2251,Poland,Wojciech Hieronim Nowacki,712889562,,38368000.0
2252,Poland,Jacek Rosół,712889594,,38368000.0
2253,Poland,Tomasz Jan Rega,712889683,,38368000.0
2254,Poland,Marek Henryk Gralik,712889781,,38368000.0
2255,Poland,Michał Piotr Sztybel,712889809,,38368000.0
2256,Poland,Jacek Andrzej Bukowski,712891291,,38368000.0
2257,Poland,Kazimierz Drozd,712891354,,38368000.0
2258,Poland,Lech Stanisław Lewandowski,712891378,,38368000.0
2259,Poland,Felicja Gwincińska,712891476,,38368000.0
2329,Ivorian,Pierre Djédji Amondji,713176326,Stub,
2332,"Congo, Dem. Rep. of",Célestin Cibalonza Byaterana,713195149,Stub,
2334,"Congo, Dem. Rep. of",Emmanuel Leku Apuobo,713198718,Stub,
2377,Iran,Shah Seyyed Ali Kazemi,713368646,,84150000.0
2380,Ivorian,Diabete Aboubacar Siriki,713381693,,
2426,"Congo, Dem. Rep. of",Kisula Ngoy,713583472,Stub,
2447,Czech Republic,Jakob Marzel Sternberger,713698544,Stub,
2452,Carniolan,Ivan Hribar,713766077,C,
2509,Faroese,Andrias Christian Evensen,714088539,Start,
2517,"Congo, Dem. Rep. of",Jean Collins Musonda Kalusambo,714150941,Stub,
2523,Czech Republic,Alois Anderka,714174726,Stub,
2528,Ivorian,Auguste Denise,714183793,Stub,
2532,Ivorian,Philippe Yacé,714200423,Stub,
2541,"Congo, Dem. Rep. of",Denis Kalume Numbi,714220527,Start,
2547,Samoan,Laauli Leuatea Polataivao,714244543,Stub,
2550,Salvadoran,José Félix Quirós,714256648,Stub,
2561,Macedonia,Dimitar Dimitrov (writer),714327408,Start,
2565,Syria,Fawzi al-Ghazzi,714352602,,19398000.0
2705,Ivorian,Jean-Baptiste Mockey,714822110,Stub,
2821,Cape Colony,Joseph Orpen,715016315,C,
2878,Bosnia-Herzegovina,Armin Halitović,715273866,,3281000.0
2884,Faroese,Hákun Djurhuus,715330944,Stub,
2892,Hondura,Oscar Kilgore,715365023,Stub,
2932,Canada,James H. Stuart,715457941,,38190000.0
2936,Czech Republic,Ivan Dejmal,715467197,Start,
2944,Faroese,Jógvan Justinusson,715490721,Stub,
2974,Iceland,Gissur Petersson,715534283,,368000.0
3007,Czech Republic,Franz Macoun,715640391,Stub,
3013,Macedonia,Jagnula Kunovska,715648720,Start,
3069,Pitcairn Islands,Edgar Allen Christian,715823848,Stub,
3070,Pitcairn Islands,Frederick Martin Christian,715823876,Stub,
3071,Pitcairn Islands,John Lorenzo Christian,715823908,Stub,
3104,Tajikistan,Amirsho Miraliyev,715978328,,9429000.0
3146,Faroese,Andrass Samuelsen,716137698,Stub,
3165,South Korean,Kim Seung-kew,716323288,Stub,
3168,Saint Vincent and the Grenadines,Joseph Lambert Eustace,716335437,Start,
3173,Saint Lucian,Len Ishmael,716376965,Stub,
3192,Carniolan,Gregor Žerjav,716507073,Start,
3209,Carniolan,Karel Dežman,716574519,C,
3250,South African Republic,Willem Cornelis Janse van Rensburg,716703178,Start,
3254,Czech Republic,Karel Urbánek,716711851,Stub,
3310,Hondura,Roberto Flores Bermúdez,716882219,Stub,
3359,South Ossetian,Stanislav Kochiev,717215546,Start,
3363,South Ossetian,Valeriy Hubulov,717241760,Start,
3371,Pitcairn Islands,Benjamin Stanley Young,717259837,Stub,
3378,Pitcairn Islands,Edward Quintal,717338734,Stub,
3379,Pitcairn Islands,Arthur Quintal I,717340951,Stub,
3380,Pitcairn Islands,Fletcher Christian II,717340996,Stub,
3381,Pitcairn Islands,Moses Young,717341064,Stub,
3392,Pitcairn Islands,Matthew McCoy (Magistrate),717345596,Stub,
3393,Pitcairn Islands,Arthur Quintal II,717346443,Stub,
3411,Carniolan,Josip Vilfan,717350390,B,
3412,Pitcairn Islands,Charles Christian II,717350782,Stub,
3457,South Korean,Seo Young-kyo,717405394,Start,
3462,Czech Republic,Vladimír Klokočka,717429365,Start,
3464,Samoan,To’alepaiali’i Toeolesulusulu Salesa III,717442173,Stub,
3496,France,Nicole Gauthier,717536136,,64940000.0
3502,Cook Island,Tou Travel Ariki,717545630,Stub,
3524,Cook Island,Piho Rua,717593716,Start,
3553,Carniolan,Luka Svetec,717669055,Start,
3607,Hondura,María Josefa Lastiri,717808509,Start,
3626,Pitcairn Islands,Norris Henry Young,717867039,Stub,
3633,France,Henri François Xavier Gresley,717891895,,64940000.0
3636,Cook Island,Robert Woonton,717897925,Start,
3638,Salvadoran,Edgardo Carlos Suárez Mallagray,717903674,Stub,
3647,Jersey,Ben Shenton,717911161,Start,
3652,Omani,Hilal Al Sarmi,717915660,Stub,
3653,Belgium,Patrick van Ypersele de Strihou,717917231,,11515000.0
3665,Pakistan,Bakhtiar Mahmud Kasuri,717927381,,220940000.0
3667,Macedonia,Stevo Pendarovski,717927538,Start,
3700,Moldova,Veaceslav Stăvilă,718090116,,3535000.0
3708,Hondura,Eduardo Bueso,718132526,Stub,
3771,Cape Colony,Klaas Afrikaner,718462130,Stub,
3894,"Congo, Dem. Rep. of",Delphin Kyubwa,718961623,Stub,
3905,Samoan,Namulau’ulu Vavae Tuilagi,718995854,Stub,
3966,Guernsey,Laurie Morgan,719122168,Stub,
3979,Cook Island,Ngereteina Puna,719186872,Stub,
4000,Montserratian,Christopher J. Turner,719256142,Start,
4015,Philippines,Edison Rey Batiquin,719342595,,109581000.0
4035,Germany,Friedrich Peus,719521006,,83300000.0
4052,Philippines,Talib Garingan Pawaki,719581803,,109581000.0
4073,Hondura,Elvin Santos,719637124,Start,
4089,Samoan,Lefau Harry Schuster,719691980,Stub,
4095,Pitcairn Islands,Arthur Galsworthy,719706841,Stub,
4151,Malta,Guglielmo Rapinett,719981739,,522000.0
4159,East Timorese,Manuel Magalhaes de Oliveira,720011934,Stub,
4161,Czech Republic,Jaromír Jermář,720027362,Stub,
4182,Germany,Christian Raster,720054719,,83300000.0
4230,Yemen,Jamal Awadh Nasser,720154872,,29826000.0
4232,United States,Wells–Bennett–Grant family,720164068,,329878000.0
4292,United States,Kimball–Snow–Woolley family,720356159,,329878000.0
4295,Saint Kitts and Nevis,Sam Condor,720360218,Stub,
4307,Salvadoran,Aníbal Portillo,720419598,Stub,
4309,Jersey,Robert Le Masurier,720430005,Stub,
4310,Tokelauan,John Allen (diplomat),720435378,Stub,
4323,Salvadoran,José Francisco Valiente,720478176,Stub,
4347,Saint Kitts and Nevis,Joseph Nathaniel France,720572188,Stub,
4361,Salvadoran,Diego de Holguín,720623176,Stub,
4362,Salvadoran,Sigfrido Reyes Morales,720633452,Start,
4396,Pakistan,Malak Zmarak Khan Mandokhail,720688837,,220940000.0
4465,United Kingdom,Francis Phips,720856841,,67160000.0
4467,"Congo, Dem. Rep. of",Sylvain Ngabu Chumbu,720858135,Start,
4479,Spain,Constantino Salinas,720924221,,47635000.0
4495,China,Gu Jinchi,720953589,,1402385000.0
4501,Iran,Kasra Nikzad,720959757,,84150000.0
4515,Croatia,Emil Ragazzini,720993927,,4020000.0
4569,Abkhazia,Zurab Achba,721094337,Stub,
4572,Pakistan,Shabbir Ahmad Rao,721106120,,220940000.0
4595,"Congo, Dem. Rep. of",José Endundo Bononge,721206007,Stub,
4651,Germany,Max Adolf Richter,721509220,,83300000.0
4689,South Ossetian,Rostislav Khugayev,721687759,Start,
4702,Czech Republic,Artur London,721736524,Start,
4721,Mexico,Lourdes Aranda,721856824,,127792000.0
4751,Faroese,Álvur Kirke,721938213,Stub,
4774,Hondura,Marlon Pascua,722006681,Stub,
4812,Hondura,Domingo Vásquez,722195895,Stub,
4833,Omani,Mohammed Al Rumhi,722258362,Stub,
4838,Guernsey,Peter Harwood,722295712,Stub,
4847,Faroese,Rikard Long,722336332,Start,
4848,Faroese,Sigurð Joensen,722336979,Start,
4889,Hondura,Enrique Flores Lanza,722442093,Stub,
4919,Faroese,Jógvan Poulsen (1854–1941),722590461,Start,
4960,Guernsey,Martin Storey (politician),722806951,Stub,
4986,Czech Republic,František Sláma (politician),722937211,Stub,
5002,Jersey,Kevin C. Lewis,722988899,Stub,
5019,South Korean,Lee Wu-jong,723064614,Stub,
5027,Zimbabwe,Bybit Lydia Tsomondo,723082034,,14863000.0
5046,Swaziland,Themba N. Masuku,723121670,Stub,
5057,Czech Republic,Jan Kubice,723151837,Stub,
5059,Samoan,Tuitama Talalelei Tuitama,723152770,Stub,
5060,Hondura,Renan Inestroza,723153856,Stub,
5074,Czech Republic,Kamil Jankovský,723207013,Stub,
5092,Salvadoran,Manuel Enrique Araujo,723277343,Start,
5100,Hondura,Mauricio Oliva,723304712,Stub,
5102,Canada,René Matteau,723308478,,38190000.0
5162,Cape Colony,Christian Groepe,723563811,B,
5163,Dagestani,Karim Mammadbeyov,723563977,Start,
5228,Abkhazia,Shota Shamatava,723736482,Stub,
5274,Saint Kitts and Nevis,Shawn Richards,723892438,Start,
5277,"Congo, Dem. Rep. of",Richard Muyej Mangez,723913158,Stub,
5343,Canada,David J. Reimer,724052271,,38190000.0
5358,Macedonia,Gordan Georgiev,724075817,Stub,
5431,Macedonia,Slobodan Čašule,724421215,Stub,
5449,Macedonia,Spiro Ristovski,724502588,Stub,
5492,Faroese,Jacob Vestergaard,724674137,Start,
5496,Czech Republic,Václav Vacek,724691268,Stub,
5552,Jersey,Rob Duhamel,724891592,Stub,
5573,Cape Colony,William Hume (Cape politician),724976433,Start,
5588,Faroese,Johan Simonsen,725030656,Stub,
5613,Hondura,Armando Calidonio,725105423,Stub,
5627,"Congo, Dem. Rep. of",Sébastien Impeto Pengo,725141090,Stub,
5743,Faroese,Kári P. Højgaard,725288194,Start,
5754,Hondura,Carlos Urbizo,725343188,Stub,
5760,Czech Republic,Čestmír Císař,725362978,C,
5784,Hondura,Mauricio Villeda,725459626,Stub,
5788,Saint Vincent and the Grenadines,Duvalle,725462724,Start,
5801,Macedonia,Valon Saracini,725551017,Start,
5802,Ivorian,Séry Bailly,725560428,Start,
5803,Macedonia,Mile Zechevikj,725560890,Stub,
5804,Macedonia,Nikola Spasovski,725570133,Stub,
5805,Macedonia,Vančo Šontevski,725570918,Stub,
5806,Macedonia,Risto Gjorgjiev,725570977,Stub,
5807,Macedonia,Vlado Misajlovski,725577168,Stub,
5809,Hondura,Miguel Andonie Fernández,725591760,Stub,
5838,Jersey,Patrick J. D. Ryan,725737326,Stub,
5855,Saint Lucian,Dominic Fedee,725910626,Stub,
5856,Guernsey,William Carey (Bailiff of Guernsey),725970969,Stub,
5858,Montserratian,Howard Fergus,725980651,Start,
5889,Hondura,Yolani Batres,726246603,Stub,
5902,Saint Lucian,Philip Pierre,726374537,Stub,
5903,Carniolan,Janez Evangelist Krek,726434981,Start,
5968,Madagascar,Eistein Rajaonary,726600165,,27691000.0
6032,Madagascar,Jean Baptiste Randriamaro,726639434,,27691000.0
6044,Czech Republic,Luca Rovinalti,726666131,Stub,
6066,Samoan,Le Mamea Matatumua Ata,726724077,Stub,
6067,Samoan,Tole’afoa Solomona To’ailoa,726724455,Stub,
6083,Czech Republic,Kamil Krofta,726762194,Start,
6091,Hondura,Manuel Antonio Alberto Zelaya,726766670,Stub,
6097,Nigeria,Mahmud Shinkafi,726805368,,206140000.0
6119,Omani,Yahya Al Khusaibi,726862168,Stub,
6213,Greenlandic,List of Danish High Commissioners in Greenland,728026000,Stub,
6249,Cook Island,List of Presidents of the House of Ariki,728378933,Stub,
6260,Czech Republic,Milan Štěch,728506208,Stub,
6268,Macedonia,Ksente Bogoev,728545577,Stub,
6362,Ivorian,Laurent Akoun,729142061,Stub,
6379,Faroese,Kristin Michelsen,729422866,C,
6380,Omani,Sayyid Badr bin Hamad bin Hamood AlBusaidi,729426899,Start,
6381,Guernsey,David Jones (Guernsey politician),729428763,Stub,
6382,Carniolan,Etbin Henrik Costa,729435354,Start,
6438,Czech Republic,Antonín Janoušek,729912438,Stub,
6476,Czech Republic,Bedřich Geminder,730146355,Stub,
6555,Saint Lucian,Hunter J. Francois,730756593,Stub,
6569,Salvadoran,Joaquín Eufrasio Guzmán,730854147,Stub,
6571,Salvadoran,Francisco Malespín,730864227,Stub,
6588,Pakistan,Mahesh Kumar Malani,730950147,,220940000.0
6633,Pitcairn Islands,Jonathan Sinclair,731458576,Stub,
6680,Cape Colony,James Sivewright,731817397,C,
6687,Cape Colony,William Downes Griffith,731908828,Start,
6706,Tokelauan,Neil Walter,732100626,Start,
6909,"Congo, Dem. Rep. of",Clovis Kabongo Malemba,733051797,Stub,
6953,Ivorian,Daniel Aka Ahizi,733596387,Stub,
6965,Salvadoran,Rodrigo Ávila,733791467,Start,
7102,Faroese,Lisbeth L. Petersen,734668075,Start,
7125,Cameroon,Patrick Nwakamma Ottih,734957625,,26598000.0
7146,Czech Republic,Karel Domin,735174171,Start,
7165,Ivorian,Bamba Mamadou,735408389,Stub,
7185,Faroese,Símun av Skarði,735578210,Stub,
7233,United States,Woman's National Democratic Club,735966681,,329878000.0
7264,Salvadoran,Mario Aguiñada Carranza,736491718,Start,
7275,Macedonia,Ferdinand Odžakov,736545789,Stub,
7309,Ireland,Liam Mac an Ultaigh,736660951,,5003000.0
7357,South African Republic,Harry Struben,736854878,Start,
7371,Saint Lucian,Vincent Floissac,736890123,Start,
7372,Saint Lucian,George Odlum,736890129,GA,
7388,Jersey,Philippe de Carteret II,737014330,Start,
7401,Austria,Alois Buttinger,737123608,,8914000.0
7406,Saint Kitts and Nevis,Patrice Nisbett,737165159,Stub,
7408,Montserratian,Ashley Greenwood,737169369,Start,
7422,Cape Colony,John Sweet Distin,737348283,Start,
7446,"Congo, Dem. Rep. of",François Nicéphore Kakese,737533634,Stub,
7455,Czech Republic,Hubert Ripka,737562321,Start,
7483,East Timorese,João Viegas Carrascalão,737687072,Start,
7697,Cook Island,Tangaroa Tangaroa,737975585,Start,
7761,Salvadoran,David Rodríguez Rivera,738362225,Start,
7764,Macedonia,Slobodan Bogoevski,738375479,Stub,
7771,Macedonia,Ministry of Environment and Physical Planning,738431228,Stub,
7783,Tanzania,Mgeni Jadi Kadika,738480520,,59734000.0
7791,Canada,Marcel Hatch,738514517,,38190000.0
7868,Carniolan,Mihael Preiss,738955897,Stub,
7872,Tajikistan,Rajabboy Norkallayev,738984692,,9429000.0
7894,Samoan,Lealailepule Rimoni Aiafi,738999542,Start,
7908,France,Valérie Dupont,739115995,,64940000.0
7926,Samoan,Va'ai Papu Vailupe,739170575,Start,
7927,Samoan,Palusalue Fa’apo II,739170586,Start,
7928,Samoan,Tolofuaivalelei Falemoe Lei’ataua,739170620,Start,
7929,Samoan,A'eau Peniamina,739170646,Start,
7930,Samoan,Patu Ativalu,739170663,Stub,
7948,Saint Vincent and the Grenadines,Charles Antrobus,739296460,Stub,
8042,India,Pranab Basu,740126873,,1400100000.0
8119,Samoan,Sua Sulu'ape Paulo II,740773350,C,
8151,Jersey,Connétable (Jersey and Guernsey),740998059,Start,
8187,Salvadoran,Carlos Ezeta,741190933,Stub,
8237,Czech Republic,Tomáš Eduard Šilinger,741588720,Stub,
8256,Carniolan,Karel Lavrič,741794691,C,
8257,Czech Republic,Petr Janyška,741798984,Stub,
8327,Greenlandic,Gunnar Martens,742150479,Stub,
8353,Salvadoran,Andrés Ignacio Menéndez,742279612,Stub,
8356,Hondura,Abraham Alvarenga Urbina,742298045,Stub,
8367,Jersey,Alan J. H. Maclean,742413962,Stub,
8407,"Congo, Dem. Rep. of",Raymond Ramazani Baya,742707920,Stub,
8416,Guernsey,Lyndon Trott,742737553,Stub,
8435,Guernsey,Jonathan Le Tocq,742872067,Start,
8436,Guernsey,Graham Dorey,742872751,Stub,
8450,Ossetian,Alan Parastaev,743018109,Start,
8457,"Congo, Dem. Rep. of",Mulumba Lukoji,743061455,Stub,
8478,Salvadoran,Gerardo Barrios,743252984,Start,
8495,Czech Republic,Jana Juřenčáková,743423675,Stub,
8496,Ivorian,Simeon Aké,743428650,Start,
8529,Cameroon,Françoise Foning,743770874,,26598000.0
8657,Tokelauan,Tim Francis,744394596,Stub,
8684,Czech Republic,Jaromír Nečas,744448745,Stub,
8712,Ivorian,Martial Joseph Ahipeaud,744522699,Stub,
8754,Czech Republic,Siegfried Taub,744612257,Start,
8757,Carniolan,Lovro Toman,744636212,Start,
8760,Ireland,Peter O'Brien (politician),744643166,,5003000.0
8800,Ivorian,Innocent Anaky,744920472,Start,
8840,Samoan,Asiata Sale'imoa Va'ai,745204530,Stub,
8868,Jersey,Michel Couriard,745348113,Start,
8965,Hondura,Agapito Robleda Castro,745838578,Start,
8972,Egypt,Mahmoud Karem,745915558,,100803000.0
8974,Saint Vincent and the Grenadines,David Emmanuel Jack,745928420,Stub,
9003,Hondura,César Castellanos (politician),746117875,Stub,
9118,Czech Republic,Záviš Kalandra,746707985,Stub,
9129,United Arab Emirates,Yousef Al Omeir,746758535,,9778000.0
9162,Cape Colony,John Thomas Eustace,746923352,C,
9259,Rhodesian,Gerald B. Clarke,747497059,Stub,
9277,Swaziland,Moses Mathendele Dlamini,747579157,Start,
9298,Brazil,Bia Venâncio,747688056,,211812000.0
9333,Ireland,Pat Bridson,747922835,,5003000.0
9338,Carniolan,Bogumil Vošnjak,747945423,Start,
9367,South Ossetian,Boris Chochiev,748071193,Stub,
9404,Pitcairn Islands,Simon Young (magistrate),748179514,Stub,
9442,Samoan,Aiono Nonumalo Sofara,748298776,Stub,
9448,Samoan,Mata'afa Faumuina Fiame Mulinu'u I,748384437,Start,
9464,Salvadoran,Rubén Zamora,748418081,Start,
9472,Guernsey,De Vic Carey,748457839,Start,
9476,Samoan,Fiame Mata'afa Faumuina Mulinu'u II,748477510,C,
9477,Faroese,Finnbogi Ísakson,748477895,Start,
9493,Croatia,Leonardo Dudan,748601806,,4020000.0
9519,Hondura,Adolfo Lionel Sevilla,748832681,Stub,
9586,Pitcairn Islands,Brian Young (magistrate),749046736,Stub,
9616,Hondura,Vicente Tosta,749185736,Start,
9655,Vanuatu,Wanmelbu,749326717,,321000.0
9705,France,Éric Faurot,749389032,,64940000.0
9714,"Congo, Dem. Rep. of",Alexandre Luba Ntambo,749397818,Stub,
9730,"Congo, Dem. Rep. of",Oscar Kashala,749419078,Start,
