,country,article_name,article_quality_est.,population
44,Angola,Kamu de Almeida,Stub,32522000.0
45,Slovenia,Hiša Marije Pomočnice,Stub,2103000.0
46,Croatia,Đuro Šurmin,Start,4020000.0
47,Japan,Suishō,Stub,125967000.0
48,Russia,Nikolai Sulima,Stub,146733000.0
49,South Africa,Khayelihle Mathaba,Stub,59628000.0
50,Finland,Vilho Turunen,Stub,5529000.0
52,Finland,Vihtori Aromaa,Stub,5529000.0
53,Finland,Jonathan Wartiovaara,Stub,5529000.0
54,Finland,Arvi Turkka,Stub,5529000.0
55,Finland,Juho Heikkinen,Stub,5529000.0
56,Finland,Emanuel Aromaa,Stub,5529000.0
57,Finland,Jukka Lankila,Stub,5529000.0
58,Finland,Jalmari Malmi,Stub,5529000.0
59,Finland,Viljo Pousi,Stub,5529000.0
60,Finland,Jooseppi Kauranen,Stub,5529000.0
61,Pakistan,Sardar Aurang Zeb Khan,Stub,220940000.0
62,Tanzania,Jeremiah Kasambala,Stub,59734000.0
63,Finland,Sofia Hjulgrén,Stub,5529000.0
64,Finland,Vihtori Viitanen,Stub,5529000.0
65,Philippines,Tirso Neri,Stub,109581000.0
66,Greece,Cleisthenes (son of Sibyrtius),Stub,10700000.0
67,Greece,Demonax (lawmaker),Start,10700000.0
68,Canada,List of 2009 Canadian incumbents,Start,38190000.0
69,United Kingdom,"Zero, None Of The Above",Stub,67160000.0
70,Finland,Johan Franzén (politician),Stub,5529000.0
71,Palestinian Territory,Planning Minister of the Palestinian National Authority,Start,5008000.0
72,China,Liu Hongchang,B,1402385000.0
73,Ireland,Custos Rotulorum of County Wicklow,Stub,5003000.0
74,Ireland,Custos Rotulorum of County Cork,Stub,5003000.0
76,Greece,Hegesippus (orator),Stub,10700000.0
77,India,Pheroze Sethna,Stub,1400100000.0
78,Tunisia,Ibrahim Kassas,Stub,11896000.0
79,India,Dilip Sarkar,Stub,1400100000.0
81,South Sudan,Gatluak Deng Garang,Stub,11194000.0
82,Botswana,List of members of the National Assembly of Botswana 2009–14,Start,2317000.0
83,Nigeria,Aliyu Ibrahim Gebi,Stub,206140000.0
84,China,Wang Jichang,Start,1402385000.0
85,Brazil,Waldemir Moka,Stub,211812000.0
86,Ireland,Custos Rotulorum of County Waterford,Stub,5003000.0
87,"Korea, South",Lee Ja-kyum,Stub,51781000.0
88,China,Wei Huan-zi,Stub,1402385000.0
89,Chile,O'Higgins Pioche,Stub,19470000.0
90,San Marino,"List of Captains Regent of San Marino, 1500–1700",Start,34000.0
91,Denmark,Eiler Grubbe,Stub,5829000.0
98,Finland,Olli Zitting,Stub,5529000.0
99,France,Pierre Philibert de Blancheton,Stub,64940000.0
100,Albania,Luiza Xhuvani,Stub,2838000.0
101,Spain,Diego de Villalba y Toledo,Start,47635000.0
102,Zimbabwe,Jabulani Dube,Stub,14863000.0
104,Benin,Ministry of Economy and Finance (Benin),Stub,12209000.0
105,Romania,Gheorghe Barbu,Stub,19241000.0
106,China,Pan Yunduan,Stub,1402385000.0
107,Finland,Otto Elfving,Stub,5529000.0
108,Sri Lanka,List of Sri Lankan politicians,Stub,21937000.0
109,India,Fathema Ismail,Stub,1400100000.0
110,Spain,Rafael Simancas,Stub,47635000.0
111,Philippines,Adela Serra-Ty,Stub,109581000.0
112,Syria,Muhammad al-Ghafri,Stub,19398000.0
114,Uruguay,Eneida de León,Stub,3531000.0
115,United States,Read family of Delaware,Stub,329878000.0
117,Canada,Rossy Barbour,Stub,38190000.0
118,Ghana,Reginald Nii Bi Ayibonte,Stub,31073000.0
119,Poland,Franz Schimmelpfennig von der Ove,Stub,38368000.0
120,Finland,Ville Korhonen (politician),Stub,5529000.0
121,Finland,Onni Hallsten,Stub,5529000.0
122,Uganda,Yosia Nadiope of Busoga,Stub,45741000.0
123,Colombia,María del Socorro Bustamante,Stub,49444000.0
124,Uruguay,Enrique Pintado,Stub,3531000.0
125,Uruguay,Instructions of the Year XIII,Stub,3531000.0
126,Moldova,Governor of Gagauzia,Stub,3535000.0
127,Egypt,Neferkheperu-her-sekheper,Start,100803000.0
128,Ghana,Abeifaa Karbo,Stub,31073000.0
129,France,Auguste Louis Antoine Fabre,Stub,64940000.0
130,Tajikistan,Maksud Ibragimov,Start,9429000.0
131,Nicaragua,Miguel R. Morales,Stub,6596000.0
132,Bosnia-Herzegovina,Aljoša Čampara,Start,3281000.0
133,Germany,Walter Simon (philanthropist),Start,83300000.0
134,Jordan,Abu Sayyaf (Jordan),Start,10679000.0
136,Denmark,Torsten Nielsen,Stub,5829000.0
138,Pakistan,Mufti Abdullah,Stub,220940000.0
139,South Africa,William Matthew Harries,Stub,59628000.0
140,New Zealand,Maanu Paul,Stub,4987000.0
141,Lithuania,County governor (Lithuania),Stub,2794000.0
142,Indonesia,Burhan Muhammad,Stub,271739000.0
143,Portugal,Martim Afonso de Brito,Stub,10255000.0
144,China,Gonghe Regency,Stub,1402385000.0
145,Kenya,Irshadali Sumra,Stub,53528000.0
146,China,Koufu,Stub,1402385000.0
147,India,Political families of Odisha,Stub,1400100000.0
148,Belgium,Firmin Aerts,Stub,11515000.0
150,South Africa,Philip Johannes Andries Watermeyer,Start,59628000.0
151,Romania,Ioan Rus,Stub,19241000.0
152,Netherlands,Pieter Adrianus Ossewaarde,Stub,17467000.0
153,Netherlands,Christoffel van Swoll,Start,17467000.0
154,United States,National Foundation for Women Legislators,Start,329878000.0
155,Canada,Les Scheininger,C,38190000.0
156,Canada,Patrick Canning,Start,38190000.0
157,Bulgaria,Kalina Krumova,Start,6927000.0
158,France,Pierre Chatenet,Stub,64940000.0
159,Monaco,Henry Soum,Stub,38000.0
160,India,Brij Bhushan Mehra,Stub,1400100000.0
161,Romania,Aurelian Pavelescu,Stub,19241000.0
162,South Sudan,Madut Kon Awan,Stub,11194000.0
163,Morocco,Taieb Ghafes,Stub,35952000.0
164,Poland,Teodor Andrault de Langeron,Stub,38368000.0
166,Lebanon,Ghassan Ashqar,Stub,6825000.0
167,Iceland,Magnús Orri Schram,Stub,368000.0
168,Sierra Leone,Wusu Sannoh,Stub,7977000.0
169,Chad,Kuri II of Kanem,Stub,16877000.0
170,Tunisia,Laroussi Mizouri,Stub,11896000.0
171,Yemen,Hashid Abdullah al-Ahmar,Stub,29826000.0
172,Kyrgyzstan,Erkin Alymbekov,Stub,6594000.0
173,Italy,Angelo Staniscia,Stub,60296000.0
174,Pakistan,Malik Adnan Hayat Noon,Stub,220940000.0
175,Benin,Samou Seidou Adambi,Stub,12209000.0
176,Mexico,Porfirio Smerdou,Stub,127792000.0
177,Sweden,Lise Nordin,Stub,10377000.0
178,Zimbabwe,Fletcher Dulini,Stub,14863000.0
179,Poland,Krzysztof Abrahamowicz,Stub,38368000.0
181,Madagascar,Horace Mann Thu-Jaune,Stub,27691000.0
183,Afghanistan,Murad Quenili,Stub,38928000.0
184,Chad,Bir II of Kanem,Stub,16877000.0
185,Canada,Gerald Hill (politician),Stub,38190000.0
186,France,List of Presidents of Alsace,Stub,64940000.0
187,Canada,John R. O'Dea,Stub,38190000.0
188,Turkmenistan,Annaberdi Kakabaýew,Stub,6031000.0
189,Yemen,Salim Yahya al-Kharega,Stub,29826000.0
190,Tanzania,Faida Mohamed Bakar,Stub,59734000.0
191,Kenya,Hosea Kiplagat,Stub,53528000.0
192,Grenada,Michael D. Lett,Stub,113000.0
193,Cambodia,Than Sina,Stub,15497000.0
194,Canada,Samuel J. Hefferton,Start,38190000.0
195,Armenia,Armen Rustamyan,Stub,2956000.0
196,Somalia,Abdulahi Ahmed Afrah,Stub,15893000.0
197,Iceland,Ólafur Garðar Einarsson,Stub,368000.0
198,Afghanistan,Badar,Stub,38928000.0
199,Slovakia,Dušan Švantner,Stub,5462000.0
200,Iceland,Óli Þorbjörn Guðbjartsson,Stub,368000.0
201,Afghanistan,Mohammed Qalamuddin,Stub,38928000.0
202,France,Patrick Bourson,Stub,64940000.0
203,Madagascar,Lininy,Stub,27691000.0
205,Nigeria,Azeez Issa Adesiji,Stub,206140000.0
207,Iraq,Ali al-Bahadili,Stub,39725000.0
208,Moldova,Valerian Revenco,Stub,3535000.0
209,Vietnam,Presidential Palace Historical Site,Stub,96209000.0
210,Russia,Viktor Antonov,Stub,146733000.0
211,Peru,Elsa Malpartida,Stub,32824000.0
212,Madagascar,Rasoanaivo,Stub,27691000.0
213,Mali,Sadio Lamine Sow,Stub,20251000.0
214,Nepal,Narayan Sharma Paudel,Stub,29996000.0
215,Tonga,Mataʻiʻulua ‘i Fonuamotu,Stub,99000.0
216,Myanmar,San Tun,Stub,54704000.0
217,Japan,Masahiro Futahashi,Stub,125967000.0
218,Greece,Yannis Moralis (politician),Stub,10700000.0
219,Argentina,Macarena Escudero,Stub,45377000.0
220,France,André Boulloche,Stub,64940000.0
223,Argentina,Norma Colpari,Stub,45377000.0
224,Liberia,Roosevelt Jayjay,Stub,5058000.0
225,Ghana,Joshua Nii Laryea Afotey-Agbo,Stub,31073000.0
226,Congo,Military Committee of the Congolese Party of Labour,Stub,5518000.0
228,Qatar,Ahmad bin Eid al-Thani,Stub,2839000.0
229,Uruguay,Liga Federal,C,3531000.0
230,Jamaica,George Samuel Ranglin,Stub,2809000.0
231,Argentina,Rubén Pellanda,Stub,45377000.0
232,Argentina,Raúl Lacabanne,Stub,45377000.0
233,Argentina,Juan Carlos Reyes (governor),Stub,45377000.0
234,Argentina,Bernardo Bas,Stub,45377000.0
235,Canada,Alexander Dunphy,Stub,38190000.0
236,Canada,Gordon Dawe,Stub,38190000.0
237,Fiji,Bijai Prasad,Stub,896000.0
238,Guyana,Barton Scotland,Stub,787000.0
239,Canada,Paul Thoms,Stub,38190000.0
240,Canada,Frederick B. Rowe,Stub,38190000.0
241,Canada,Allan Evans (politician),Stub,38190000.0
243,Fiji,Asesela Sadole,Stub,896000.0
244,Canada,Luke Woodrow,Stub,38190000.0
245,Canada,William G. Patterson,Stub,38190000.0
246,Solomon Islands,Simeon Bouro,Start,715000.0
247,Nigeria,Salisu Buhari,Stub,206140000.0
248,China,Hou Zongbin,Stub,1402385000.0
249,Ecuador,Jorge Zavala,Stub,17511000.0
250,Liechtenstein,Harry Quaderer,Stub,39000.0
251,Canada,Freeman White (politician),Stub,38190000.0
252,Tuvalu,Leneuoti Matusi,Stub,10000.0
253,Tuvalu,Second Toafa Ministry,Start,10000.0
254,Canada,William J. MacNeil,Stub,38190000.0
255,Argentina,Miguel Cané,Start,45377000.0
256,Uruguay,Gabriel Antonio Pereira,Stub,3531000.0
257,Germany,Wilhelm Wallbaum,Stub,83300000.0
258,Sao Tome and Principe,List of São Toméan politicians,Stub,210000.0
259,Morocco,Larbi Messari,Start,35952000.0
260,Russia,Sergey Zorin,Stub,146733000.0
261,Pakistan,Fakhrul Islam,Stub,220940000.0
262,Mexico,Cora Amalia Castilla,Stub,127792000.0
263,New Zealand,Victor Macky,Start,4987000.0
265,Somalia,Mohamed Mohamud Hayd,Stub,15893000.0
266,Belarus,Sergey Kalyakin,Stub,9375000.0
267,Slovenia,List of Slovenian politicians,Stub,2103000.0
268,Uruguay,Mateo Vidal,Stub,3531000.0
269,Canada,John Collins (Canadian politician),Stub,38190000.0
270,Fiji,Osea Gavidi,Start,896000.0
271,China,Cui Yuying,Start,1402385000.0
272,Singapore,Abdul Rahim Ishak,Start,5769000.0
273,Panama,Gumercinda Páez,GA,4283000.0
274,Ireland,Des Dalton,Start,5003000.0
275,Guinea,Claude Pivi,Stub,12560000.0
277,Argentina,Bernardo Grinspun,Stub,45377000.0
279,Marshall Islands,Michael Konelios,Stub,57000.0
280,Pakistan,Malik Khuda Buksh Tiwana,Stub,220940000.0
281,Canada,Barry Hynes,Stub,38190000.0
282,Hungary,"Domonkos II, Archbishop of Esztergom",Stub,9767000.0
283,Portugal,Veríssimo Aguiar Cabral,Stub,10255000.0
284,Panama,Federico Policani,Stub,4283000.0
285,Russia,Alexander Barybin,Stub,146733000.0
286,Palestinian Territory,Hossam Arafat (politician),Stub,5008000.0
288,United Kingdom,Laura Alvarez,Stub,67160000.0
289,Poland,Mirosław Czech,Stub,38368000.0
290,Bulgaria,Poli Karastoyanova,Start,6927000.0
291,Ethiopia,Actisanes,Stub,114916000.0
292,South Africa,Azhar Cachalia,Stub,59628000.0
294,Romania,Simona-Alice Man,Stub,19241000.0
295,Brazil,Jerônima Mesquita,Stub,211812000.0
296,Philippines,Jose Solis,Stub,109581000.0
297,Dominican Republic,Viriato Fiallo,Start,10500000.0
298,Argentina,Rodolfo Gabrielli,Stub,45377000.0
299,Malaysia,Eli Wong,Stub,32781000.0
300,Brazil,Horácio de Matos,Stub,211812000.0
303,Canada,Brendan Howard,Stub,38190000.0
304,Ecuador,Benigno Andrade Flores,Stub,17511000.0
305,Russia,Yury Zaostrovtsev,Stub,146733000.0
306,Uganda,Patrick Mutono,Stub,45741000.0
307,Italy,Giuseppe Fenaroli Avogadro,Stub,60296000.0
308,Angola,Afonso Pedro Canga,Stub,32522000.0
309,Germany,Wilhelm von Wedell-Piesdorf,Stub,83300000.0
310,Germany,Hans Graf von Schwerin-Löwitz,Stub,83300000.0
311,Australia,Geoff Muntz,Start,25754000.0
312,Armenia,Martiros Sarukhanyan,Stub,2956000.0
313,Colombia,Maria del Pilar Hurtado,Stub,49444000.0
314,Italy,Giovanni Bovara,Start,60296000.0
315,Croatia,Zvonimir Mršić,Stub,4020000.0
316,Kenya,Julius Muthamia,Start,53528000.0
317,Canada,Wilson Callan,Stub,38190000.0
318,Canada,Rod Moores,Stub,38190000.0
319,Lebanon,Georges Adwan,Stub,6825000.0
320,Yemen,Muhammad Musa al-Amri,Start,29826000.0
321,United States,Murray Hill Incorporated,Stub,329878000.0
322,Brazil,Aníbal Diniz,Stub,211812000.0
323,Tunisia,Slaheddine Ben Mbarek,Stub,11896000.0
324,Algeria,Ali Fawzi Rebaine,Stub,44357000.0
325,Germany,Jochen Ott,Stub,83300000.0
326,Poland,Aleksander Miller,Stub,38368000.0
327,Belarus,Sergei Gaidukevich,Stub,9375000.0
328,Taiwan,President of Taiwan,Stub,23610000.0
329,Tonga,Siosifa Tuʻitupou Tuʻutafaiva,Start,99000.0
330,Egypt,Qandil Cabinet,C,100803000.0
331,Bosnia-Herzegovina,Ivo Andrić-Lužanski,Stub,3281000.0
333,Argentina,Raúl Borrás,Stub,45377000.0
334,Argentina,Roque Carranza,Stub,45377000.0
335,Argentina,Germán López (politician),Stub,45377000.0
336,Iran,Electoral history of Mohammad Khatami,Start,84150000.0
337,Iran,Electoral history of Mahmoud Ahmadinejad,Start,84150000.0
338,Iran,Electoral history of Ali Larijani,Start,84150000.0
339,China,Meng Xiangwei,Stub,1402385000.0
340,Maldives,House of Theemuge,Stub,541000.0
341,Togo,Ata Messan Ajavon Zeus,Stub,8279000.0
342,Ireland,John Rogers (Irish lawyer),Stub,5003000.0
343,Sudan,Mustafa Osman Obeid Salim,Stub,43849000.0
344,Bolivia,Tito Hoz de Vila,Start,11633000.0
345,Gabon,Alexandré Barro Chambrier,Start,2231000.0
346,Bangladesh,Md. Moniruzzaman Moni,Stub,169809000.0
347,Liberia,Benjamin Green Freeman,Stub,5058000.0
348,Myanmar,Han Tha Myint,Stub,54704000.0
349,Netherlands,Willem Buys,Stub,17467000.0
350,Belgium,Joseph Gustave Ernest Allard,Stub,11515000.0
351,Greece,Takis Papageorgopoulos,Stub,10700000.0
352,Canada,List of 2010 Canadian incumbents,Start,38190000.0
353,China,Zhu Haowen,Stub,1402385000.0
354,Malaysia,Abu Samah Mohd Kassim,Stub,32781000.0
355,Uganda,Stanislaus Okurut,Stub,45741000.0
356,Finland,Ilmi Hallsten,Stub,5529000.0
357,China,Zhao Dezun,Stub,1402385000.0
358,Italy,Mario Occhiuto,Stub,60296000.0
359,Poland,Leszek Deptuła,Stub,38368000.0
360,Ukraine,Sergei Walter,Start,41778000.0
362,Hungary,"Péter Szilágyi (politician, 1981)",Start,9767000.0
363,Canada,Harold Collins (Canadian politician),Stub,38190000.0
364,Malaysia,R. G. Balan,Stub,32781000.0
365,Portugal,Vítor Aleixo,Stub,10255000.0
366,Finland,Tuomas Pohjanpalo,Stub,5529000.0
367,China,Zhang Chang (Han),Stub,1402385000.0
368,China,Lei Chunmei,Stub,1402385000.0
369,Slovenia,Franci Slak,Start,2103000.0
370,Bangladesh,Abdus Sattar Mondal,Stub,169809000.0
371,Libya,Bashir Saadawi,Stub,6891000.0
372,Nigeria,Igwe Aja-Nwachukwu,Stub,206140000.0
373,Canada,Speaker of the Legislative Assembly of the Province of Canada,Stub,38190000.0
374,Albania,Josif Pashko,Stub,2838000.0
375,Maldives,Ahmed Jamsheed Mohamed,Stub,541000.0
376,Guinea,Kerfalla Yansané,Stub,12560000.0
377,Mali,Amadou Konare,Stub,20251000.0
378,Brazil,João Alberto de Souza,Stub,211812000.0
379,Kiribati,Mote Terukaio,Stub,125000.0
380,Kiribati,Tekiau Aretaateta,Stub,125000.0
381,Belgium,Marie-José Laloy,Stub,11515000.0
382,France,Émile Marie Laurent,Stub,64940000.0
383,Chad,Mahamat Hissene,Stub,16877000.0
384,Brazil,Rafael Tobias de Aguiar,Stub,211812000.0
385,Vietnam,Phạm Thị Trân Châu,Stub,96209000.0
386,Solomon Islands,David Pacha,Stub,715000.0
387,Uganda,Charles Oboth Ofumbi,Start,45741000.0
388,China,Lu Ruilin,Stub,1402385000.0
389,India,Lalbuaia,Stub,1400100000.0
390,France,Ian Brossat,Stub,64940000.0
391,China,Yuan Baocheng,Stub,1402385000.0
392,Uganda,Pumla Kisosonkole,Start,45741000.0
393,Slovakia,Ivo Nesrovnal,Stub,5462000.0
394,Finland,Pekka Pesola,Stub,5529000.0
395,France,Jean Capelle (politician),Stub,64940000.0
396,Iceland,Magnús Norðdahl,Stub,368000.0
398,China,Li Zaihe,Stub,1402385000.0
399,Argentina,Guillermo Montenegro,Stub,45377000.0
400,Mongolia,Khas-Ochiryn Luvsandorj,Stub,3361000.0
401,Italy,Michele Columbu,Stub,60296000.0
402,China,Li Sancai,C,1402385000.0
403,Guyana,Martin Zephyr,Stub,787000.0
404,Turkmenistan,Khadyr Saparlyev,Stub,6031000.0
405,Benin,Arouna Mama,Stub,12209000.0
406,Netherlands,List of Dutch politicians,B,17467000.0
407,Vanuatu,Robert Bohn Sikol,C,321000.0
408,Peru,Javier Reátegui,Stub,32824000.0
409,Mali,Mamadou Djigué,Stub,20251000.0
411,Mongolia,Nyamyn Jagvaral,Start,3361000.0
412,India,Mahadeo Deole,Stub,1400100000.0
413,Vietnam,Ngo Dinh Khoi,Stub,96209000.0
414,Argentina,Jorge Lemus,Stub,45377000.0
415,Finland,Viktor Magnus von Born,Stub,5529000.0
416,Finland,Lennart Byman,Stub,5529000.0
417,Pakistan,Hamid Khan Achakzai,Stub,220940000.0
418,Finland,Johan Helo,Stub,5529000.0
419,Finland,Gunnar Henriksson,Stub,5529000.0
420,Argentina,Cecilia Soria,Stub,45377000.0
421,Cuba,Francisco de Arango y Parreño,Start,11281000.0
422,China,Tian Xiangli,Stub,1402385000.0
423,Tunisia,Ridha Charfeddine,Stub,11896000.0
424,Netherlands,Tjapko Poppens,Stub,17467000.0
425,Nepal,Pradip Kumar Gyawali,Start,29996000.0
426,Monaco,Thierry Poyet,Stub,38000.0
427,Monaco,Eric Elena,Stub,38000.0
428,Poland,Kalikst Witkowski,Stub,38368000.0
429,Greece,Nikos Markatos,Start,10700000.0
430,Montenegro,Dobrilo Dedeić,Stub,622000.0
431,Fiji,Navin Patel,Stub,896000.0
432,Nigeria,Christopher Nwankwo,Stub,206140000.0
433,India,Electoral history of Atal Bihari Vajpayee,Stub,1400100000.0
435,India,Palden Tsering Gyamtso,Stub,1400100000.0
436,Argentina,Soledad Sosa,Stub,45377000.0
437,Bangladesh,Shafi U Ahmed,Stub,169809000.0
438,Morocco,Omar Benjelloun,Stub,35952000.0
439,Portugal,Fernão Martins da Fonseca Coutinho,Stub,10255000.0
440,Monaco,Jean-François Robillon,Start,38000.0
441,Bhutan,Lhatu Wangchuk,Stub,730000.0
442,Nepal,Tek Bahadur Gurung,Start,29996000.0
443,Bangladesh,Mohammad Sultan,Start,169809000.0
444,India,Gaya Prasad,Stub,1400100000.0
445,Mozambique,Political Bureau of the Central Committee of FRELIMO,Stub,31166000.0
446,United Kingdom,Old Men Forget,Stub,67160000.0
447,Tuvalu,Satini Manuella,Stub,10000.0
448,India,S. Ganesan,Stub,1400100000.0
449,Canada,"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",Stub,38190000.0
450,Spain,"Salvador Bermúdez de Castro, 2nd Duke of Ripalda",Start,47635000.0
451,Nepal,Rameshwor Phuyal,Stub,29996000.0
452,Nepal,Rishi Kattel,Stub,29996000.0
453,Australia,Peter Arnold (politician),Stub,25754000.0
454,Nepal,Sushila Chaudhary,Stub,29996000.0
455,Nepal,Mahendra Dhoj G.C.,Stub,29996000.0
456,Nepal,Sher Bahadur Tamang,Stub,29996000.0
457,Nepal,Hari Bahadur Khadka,Stub,29996000.0
458,Nepal,Tirtha Bahadur Lama,Stub,29996000.0
459,Nepal,Vishwendraman Pashwan,Stub,29996000.0
460,Nepal,Tuluram Rajbanshi,Stub,29996000.0
461,Nepal,Hari Lal Joshi,Stub,29996000.0
462,Nepal,Arjun Jang Bahadur Singh,Stub,29996000.0
463,Nepal,Prem Lal Singh,Stub,29996000.0
464,Nepal,Sebaki Devi Das Tatma,Stub,29996000.0
465,Nepal,Chandra Bahadur Gurung,Stub,29996000.0
466,Nepal,Krishna Das Shrestha,Stub,29996000.0
467,Nepal,Om Prakash Yadav Gulzari,Stub,29996000.0
468,Nepal,Omprakash Yadav,Stub,29996000.0
469,Nepal,Hari Parajuli,Stub,29996000.0
470,Nepal,Ishwar Dayal Mishra,Stub,29996000.0
471,Nepal,Sher Dhan Rai,Stub,29996000.0
472,Nepal,Bhim Bahadur Tamang,Start,29996000.0
473,Nepal,Bedanand Jha,Stub,29996000.0
474,Nepal,Mohan Prasad Pandey,Stub,29996000.0
475,Nepal,Shekha Nath Adhikari,Stub,29996000.0
476,Nepal,Dev Raj Joshi,Stub,29996000.0
477,Nepal,Tarinee Datt Chataut,Stub,29996000.0
478,Nepal,Rabindra Nath Sharma,Stub,29996000.0
479,Nepal,Tek Bahadur Chokhyal,Stub,29996000.0
480,Nepal,Dip Kumar Upadhaya (Lamichhane),Stub,29996000.0
481,Nepal,Brijesh Kumar Gupta,Stub,29996000.0
482,Nepal,Harka Bahadur Singh,Stub,29996000.0
484,Nepal,Mohammad Estiyak Rai,Stub,29996000.0
485,Nepal,Rameshwor Prasad Dhungel,Stub,29996000.0
486,Nepal,Parbati Chaudhary,Stub,29996000.0
487,Nepal,Ram Hari Subedi,Stub,29996000.0
488,Nepal,Malabar Singh Thapa,Stub,29996000.0
489,Nepal,Yagya Bahadur Basnyat,Stub,29996000.0
490,Nepal,Narayan Singh Pun,Stub,29996000.0
491,Nepal,Ram Ayodhya Prasad Yadav,Stub,29996000.0
492,Nepal,Ramnath Dhakal,Stub,29996000.0
493,Nepal,Sher Bahadur Kunwor,Stub,29996000.0
494,Nepal,Ram Bir Manandhar,Stub,29996000.0
495,Nepal,Radhe Chandra Yadav,Stub,29996000.0
496,Nepal,Til Kumar Menyangbo Limbu,Stub,29996000.0
497,Nepal,Tirtha Ram Dangol,Stub,29996000.0
498,Nepal,Rajendra Kumar KC,Stub,29996000.0
499,Nepal,Lekh Nath Neupane,Stub,29996000.0
500,New Zealand,Frank Lark,Start,4987000.0
501,Bhutan,Dorji Namgyal,Stub,730000.0
502,Bhutan,Ugyen Tshering,Stub,730000.0
503,Maldives,Ibrahim Didi,Stub,541000.0
504,Maldives,Ibrahim Saleem,Stub,541000.0
505,Maldives,Mohamed Munavvar,Start,541000.0
506,Maldives,Mohamed Zahir Hussain,Stub,541000.0
507,Maldives,Azima Shukoor,Stub,541000.0
508,Maldives,Mohamed bin Hajj Ali Thukkala,Stub,541000.0
509,Maldives,Mahmood Razi,Stub,541000.0
511,Sri Lanka,Kumaraswamy Nandagopan,Stub,21937000.0
512,Sri Lanka,V. Sivayogan,Stub,21937000.0
513,Sri Lanka,P. Ariyaratnam,Stub,21937000.0
514,Sri Lanka,V. Edirmannasingham,Stub,21937000.0
515,Sri Lanka,K. Vignarajah,Stub,21937000.0
516,Sri Lanka,M. Manickam,Stub,21937000.0
517,Sri Lanka,S. R. P. Sraiva,Stub,21937000.0
518,Slovakia,Štefan Osuský,C,5462000.0
519,Poland,Elżbieta Branicka,Stub,38368000.0
520,Sri Lanka,S. Pasupathipillai,Stub,21937000.0
521,Sri Lanka,Ananda Kumarasiri,Stub,21937000.0
522,Spain,Manuel Martin (conquistador),Stub,47635000.0
523,Myanmar,Thein Tun,Stub,54704000.0
524,Myanmar,Khin Yi,Stub,54704000.0
525,Myanmar,Win Aung,Start,54704000.0
526,Myanmar,Sao Seng Suk,Stub,54704000.0
527,Myanmar,Maung Oo,Start,54704000.0
528,Myanmar,Nai Htaw Sorn,Start,54704000.0
529,Myanmar,Sein Myint,Stub,54704000.0
530,Myanmar,Khin Maung Thein,Stub,54704000.0
531,Myanmar,Kyaw Swa Khaing,Stub,54704000.0
532,Myanmar,Khin San Hlaing,Stub,54704000.0
533,Myanmar,Tin Hlaing,Stub,54704000.0
534,Myanmar,Thein Swe,Stub,54704000.0
535,Morocco,Mohammad Temim,Stub,35952000.0
536,Poland,Teodor Szybiłło,Stub,38368000.0
537,Thailand,Prapat Panyachatraksa,Stub,66534000.0
538,Thailand,Suwat Liptapanlop,C,66534000.0
539,Thailand,Sutham Sangprathum,Stub,66534000.0
